time,thrust
0.001,2.282812
0.002,15.218749
0.003,23.589062
0.004,21.306248
0.005,22.828123
0.006,28.154686
0.007,41.851559
0.008,39.568748
0.009,31.959373
0.01,34.242184
0.011,40.329685
0.012,37.285934
0.013,14.457811
0.014,0.760937
0.015,30.437498
0.016,15.218749
0.017,31.198435
0.018,14.457811
0.019,21.306248
0.02,25.871874
0.021,44.134373
0.022,84.464058
0.023,117.945305
0.024,124.032806
0.025,165.884369
0.026,203.170303
0.027,198.604675
0.028,200.126556
0.029,189.473419
0.03,180.342178
0.031,180.342178
0.032,203.931244
0.033,234.368729
0.034,263.284363
0.035,270.132782
0.036,368.293732
0.037,402.535919
0.038,471.020294
0.039,505.262482
0.04,548.635925
0.041,537.221863
0.042,515.154663
0.043,523.524963
0.044,579.073425
0.045,616.359314
0.046,652.884338
0.047,676.473389
0.048,725.173401
0.049,755.610901
0.05,761.698364
0.051,706.149963
0.052,611.032776
0.053,580.595276
0.054,594.292175
0.055,656.689026
0.056,700.823364
0.057,741.153076
0.058,738.109314
0.059,695.496826
0.06,590.487488
0.061,519.720276
0.062,503.740601
0.063,593.531189
0.064,692.453064
0.065,744.957764
0.066,709.954651
0.067,720.607788
0.068,818.768677
0.069,882.687439
0.07,855.293701
0.071,773.873413
0.072,790.614014
0.073,779.960876
0.074,856.815552
0.075,815.724976
0.076,786.809326
0.077,623.207764
0.078,379.707794
0.079,289.156219
0.08,241.217178
0.081,343.1828
0.082,443.626526
0.083,576.790588
0.084,636.143738
0.085,704.628052
0.086,683.321838
0.087,706.149963
0.088,574.507751
0.089,581.356201
0.09,563.093689
0.091,523.524963
0.092,498.414032
0.093,481.673401
0.094,502.979645
0.095,400.253113
0.096,397.970276
0.097,422.320282
0.098,499.935913
0.099,521.242126
0.1,538.743713
0.101,575.268738
0.102,543.309326
0.103,592.770264
0.104,614.076538
0.105,546.353088
0.106,439.821838
0.107,397.970276
0.108,404.0578
0.109,404.0578
0.11,442.865601
0.111,480.15152
0.112,529.612488
0.113,531.895264
0.114,506.784332
0.115,506.784332
0.116,480.15152
0.117,476.346832
0.118,520.481201
0.119,509.067169
0.12,475.585907
0.121,444.387482
0.122,426.124969
0.123,381.990601
0.124,340.899963
0.125,375.142151
0.126,366.010925
0.127,405.579651
0.128,461.889038
0.129,518.198425
0.13,515.915588
0.131,514.393738
0.132,502.218719
0.133,483.195282
0.134,401.014038
0.135,377.424988
0.136,388.83905
0.137,429.929657
0.138,448.953094
0.139,500.696838
0.14,486.239044
0.141,471.020294
0.142,432.973419
0.143,445.148407
0.144,392.643738
0.145,391.882782
0.146,414.710907
0.147,430.690613
0.148,412.428101
0.149,440.582794
0.15,472.542145
0.151,474.824982
0.152,447.431213
0.153,477.868713
0.154,486.239044
0.155,475.585907
0.156,474.064026
0.157,464.171844
0.158,462.649963
0.159,402.535919
0.16,391.121857
0.161,361.445282
0.162,351.553101
0.163,364.489044
0.164,418.515594
0.165,425.364044
0.166,474.824982
0.167,502.979645
0.168,502.218719
0.169,485.478088
0.17,471.781219
0.171,467.976532
0.172,444.387482
0.173,443.626526
0.174,472.542145
0.175,465.693726
0.176,447.431213
0.177,462.649963
0.178,448.953094
0.179,406.340607
0.18,407.101532
0.181,451.235901
0.182,445.148407
0.183,457.323395
0.184,471.020294
0.185,491.565582
0.186,507.545288
0.187,490.043732
0.188,486.999969
0.189,463.410919
0.19,448.953094
0.191,465.693726
0.192,464.93277
0.193,470.259338
0.194,448.953094
0.195,448.192169
0.196,460.367157
0.197,421.559357
0.198,420.798401
0.199,409.384338
0.2,418.515594
0.201,441.343719
0.202,474.824982
0.203,464.171844
0.204,462.649963
0.205,455.040588
0.206,438.299988
