extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.861653,0.540000,349.270324,29.017641,278.988110,48.639140,28.358928,21.350201,7.861653,14.948899,1012.305903,31.222207,131.010410,-0.983675,1.737227,1.996391,-1285778.882842
max_speed,64.554966,12.590000,0.000000,10.725154,2552.211053,7.538251,0.551493,64.554966,1.254732,14.991844,1013.099273,31.219294,131.012175,-323.943432,169.926302,365.807577,-1285938.635996
max_dynamic_pressure,2552.211053,12.590000,0.000000,10.725154,2552.211053,7.538251,0.551493,64.554966,1.254732,14.991844,1013.099273,31.219294,131.012175,-323.943432,169.926302,365.807577,-1285938.635996
max_acceleration,80.936542,0.070000,855.293775,80.936542,2.789410,76.689691,3.861261,2.134345,3.034161,14.980278,1012.885547,31.222216,131.010392,-0.007219,0.012743,0.014646,-1285779.122801
max_qbar_atan_aoa,1756864.531302,2.180000,234.368749,17.788576,1922.109771,15.952820,6.973332,56.181932,60.513279,14.606664,1006.001371,31.222007,131.010606,-23.202477,20.349509,30.861924,-1285785.685364
max_altitude,162.613512,6.740000,0.000000,7.772250,1195.230954,10.519720,0.939408,44.521241,162.613512,13.943012,993.866440,31.220752,131.011306,-162.322379,87.108672,184.218871,-1285857.877690
final_point,1.254732,12.590000,0.000000,10.725154,2552.211053,7.538251,0.551493,64.554966,1.254732,14.991844,1013.099273,31.219294,131.012175,-323.943432,169.926302,365.807577,-1285938.635996
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,80.936542,2.789410,76.689691,3.861261,2.134345,3.034161,14.980278,1012.885547,31.222216,131.010392,-0.007219,0.012743,0.014646,-1285779.122801
