extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222200,131.010000,0.000000,0.000000,0.000000,-1285802.754993
launch_clear,7.572349,0.540000,349.270324,29.490820,406.504102,31.303220,25.173865,25.771254,7.572349,14.950780,1012.340632,31.222184,131.010022,-1.765099,2.081646,2.729253,-1285802.936829
max_speed,69.312268,2.920000,41.090626,5.986526,2922.206342,8.750303,4.685591,69.312268,72.348627,14.529734,1004.588586,31.221719,131.010657,-53.361460,62.637480,82.285595,-1285808.428871
max_dynamic_pressure,2922.275296,2.900000,41.090626,10.252835,2922.275296,8.671433,4.534202,69.311401,71.843144,14.533020,1004.648893,31.221725,131.010649,-52.713132,61.877773,81.286852,-1285808.359122
max_acceleration,428.769107,11.140000,0.000000,428.769107,293.120941,22.403898,1.558491,21.876937,0.858026,14.994423,1013.146926,31.219878,131.013157,-257.402524,300.759879,395.872170,-1285830.990593
max_qbar_atan_aoa,1529049.730341,2.490000,76.093749,5.101686,2847.631010,9.371633,5.636568,68.384283,60.842203,14.604526,1005.962085,31.221843,131.010488,-39.629886,46.543731,61.129820,-1285806.953611
max_altitude,105.373542,5.490000,0.000000,11.753545,2444.840844,8.182751,1.360376,63.499426,105.373542,14.315072,1000.654900,31.220973,131.011673,-136.026730,159.364358,209.524695,-1285817.410773
final_point,0.284375,11.180000,0.000000,161.768059,108.817979,34.143603,3.623610,13.329120,0.284375,14.998152,1013.215837,31.219879,131.013156,-257.364700,300.713364,395.812236,-1285830.987815
parachute_deploy,1.000000,9.520000,0.000000,26.985915,1004.959541,12.512639,0.338726,40.572272,34.036752,14.778761,1009.167697,31.219954,131.013055,-249.033846,291.119666,383.106409,-1285829.988890
max_thrust,855.293775,0.070000,855.293775,81.423523,2.854984,76.565715,5.223066,2.159286,3.032034,14.980292,1012.885802,31.222200,131.010000,-0.012950,0.015268,0.020020,-1285802.756329
