group_key,landed_longitude,landed_latitude,landing_range
"(1.0,)",131.01390238284668,31.22071226534452,-1285714.400208429
"(1.0,)",131.01391630378487,31.220632723094702,-1285720.7049077377
"(1.0,)",131.013854509196,31.220500914098448,-1285735.9576447092
"(1.0,)",131.01375135028312,31.22038927361019,-1285751.7540969846
"(1.0,)",131.01366388416406,31.22035963427873,-1285759.349731245
"(1.0,)",131.01364450715795,31.22043382283564,-1285753.831369488
"(1.0,)",131.01370994466748,31.220571861940137,-1285737.8168313815
"(1.0,)",131.01381743789318,31.22068925878031,-1285721.2616538734
"(2.0,)",131.01399226592957,31.22089627212767,-1285692.9024656632
"(2.0,)",131.01401547711723,31.2207335588107,-1285706.097630684
"(2.0,)",131.01389598069403,31.220478295635967,-1285735.6263492897
"(2.0,)",131.0136962319841,31.22026224739047,-1285766.2023335625
"(2.0,)",131.01351870387305,31.22019746111909,-1285782.0317094654
"(2.0,)",131.0134740247453,31.220338266725594,-1285772.0056760248
"(2.0,)",131.01360517690838,31.22062023058052,-1285739.436118878
"(2.0,)",131.01382650912694,31.22085847579648,-1285705.6586658924
"(3.0,)",131.01406068410907,31.22108251663662,-1285672.4206507422
"(3.0,)",131.01409578228547,31.22083291223524,-1285692.6909164651
"(3.0,)",131.01392549112262,31.220461805108908,-1285735.425890999
"(3.0,)",131.0136331168088,31.22015003620385,-1285779.7822942168
"(3.0,)",131.01336043716293,31.220050159114752,-1285804.128602967
"(3.0,)",131.01328144917818,31.220250056563128,-1285790.7759810002
"(3.0,)",131.01347681830433,31.22068016837465,-1285741.3596940094
"(3.0,)",131.01381878067315,31.221039937892176,-1285689.915144026
"(4.0,)",131.01411015161136,31.221268100196028,-1285653.0708986677
"(4.0,)",131.01415632006027,31.22093071117148,-1285680.5421212886
"(4.0,)",131.01394231234,31.220451867427805,-1285735.3595998802
"(4.0,)",131.01356183885403,31.22005391518868,-1285792.3896544818
"(4.0,)",131.01319261685677,31.219919902611053,-1285825.2464846435
"(4.0,)",131.01306950109034,31.22017002296928,-1285809.9141978952
"(4.0,)",131.01331958752257,31.22075389596607,-1285743.6886730646
"(4.0,)",131.01379042238102,31.221230686728088,-1285674.5118229715
"(5.0,)",131.01413839486267,31.221449394772208,-1285635.305486851
"(5.0,)",131.01420059272667,31.22102538204234,-1285669.5932568223
"(5.0,)",131.013950507265,31.22044639724157,-1285735.3833743425
"(5.0,)",131.0134856388276,31.21997126372188,-1285804.0746000302
"(5.0,)",131.01301930489262,31.219805493143088,-1285845.2622326934
"(5.0,)",131.01284104598852,31.22010210742376,-1285828.9066437248
"(5.0,)",131.01314352541445,31.22083698829085,-1285746.2491556467
"(5.0,)",131.0137434363208,31.221427487977675,-1285659.6237997168
"(6.0,)",131.0141462880614,31.22162219613854,-1285619.4498274259
"(6.0,)",131.01423422057604,31.22111645892391,-1285659.5676336037
"(6.0,)",131.0139516438101,31.22044463194252,-1285735.4764372245
"(6.0,)",131.01340617487455,31.219901728643418,-1285814.774733497
"(6.0,)",131.0128438332796,31.21971041981993,-1285863.6760574006
"(6.0,)",131.01260198276427,31.22004759707953,-1285847.3045608683
"(6.0,)",131.0130386025058,31.22088410918983,-1285747.9889377833
"(6.0,)",131.0136790665182,31.221626377427096,-1285645.5341706886
"(7.0,)",131.014141506564,31.22178888402892,-1285604.8571131246
"(7.0,)",131.01425460241416,31.221203286444528,-1285650.670985376
"(7.0,)",131.0139436057569,31.22044759727541,-1285735.6671453754
"(7.0,)",131.01332633371106,31.219841623438608,-1285824.6553395898
"(7.0,)",131.0126692544876,31.21962849821417,-1285880.8666052492
"(7.0,)",131.01235484491295,31.22000393885088,-1285865.192188666
"(7.0,)",131.01264802425194,31.220967636139097,-1285762.6588545276
"(7.0,)",131.0135990265699,31.22182453365736,-1285632.3975280155
"(8.0,)",131.01412177409975,31.221944415030745,-1285592.1059671908
"(8.0,)",131.01426313182253,31.221286093263323,-1285642.8040172854
"(8.0,)",131.01392723801203,31.220454853992702,-1285735.9468284673
"(8.0,)",131.01324506218813,31.219792846465047,-1285833.6067708256
"(8.0,)",131.0124976309916,31.21956643809211,-1285896.1187810295
"(8.0,)",131.01210469839134,31.21997337990711,-1285882.08231571
"(8.0,)",131.0124700933504,31.221230986991984,-1285749.2530763804
"(8.0,)",131.0135045169148,31.222018270057724,-1285620.4746558699
"(9.0,)",131.0140917623171,31.22209135099972,-1285580.7034171121
"(9.0,)",131.01426428319803,31.221363742927824,-1285635.814713175
"(9.0,)",131.01390600606732,31.22046467078108,-1285736.2736496176
"(9.0,)",131.01316322159792,31.2197550378341,-1285841.6123543866
"(9.0,)",131.0123301279609,31.219513152275752,-1285910.3552756954
"(9.0,)",131.01185984656283,31.21995784798221,-1285897.3328749135
"(9.0,)",131.0123603207987,31.22120697339524,-1285757.6107899945
"(9.0,)",131.01339931833715,31.222206366677582,-1285609.6602544342
