extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,54.615924,2.560000,65.440626,9.217933,1813.785262,9.617331,0.262113,54.615924,75.781349,14.507421,1004.179124,31.222012,131.010854,-22.615838,44.036114,49.504138,-1285771.133225
max_dynamic_pressure,1813.785262,2.560000,65.440626,9.217933,1813.785262,9.617331,0.262113,54.615924,75.781349,14.507421,1004.179124,31.222012,131.010854,-22.615838,44.036114,49.504138,-1285771.133225
max_acceleration,330.685305,15.360000,0.000000,330.685305,231.305803,23.130768,1.879971,19.433607,0.717263,14.995338,1013.163835,31.220638,131.013988,-174.979161,342.673301,384.765707,-1285716.168532
max_qbar_atan_aoa,1063244.256432,2.780000,35.003127,4.738310,1794.667229,10.340141,1.579514,54.350804,84.767096,14.449014,1003.107923,31.221981,131.010929,-26.055048,51.148257,57.402232,-1285769.671103
max_altitude,170.346351,6.950000,0.000000,1.787546,785.778916,14.540163,0.842415,36.112149,170.346351,13.892749,992.952219,31.221379,131.012380,-92.793176,189.385537,210.897537,-1285741.172272
final_point,0.033576,15.420000,0.000000,115.960824,27.782729,53.921231,3.588442,6.734934,0.033576,14.999782,1013.245966,31.220637,131.013989,-175.053199,342.693081,384.816999,-1285716.216325
parachute_deploy,1.000000,11.010000,0.000000,17.699567,728.678767,14.184887,1.091896,34.650148,95.444011,14.379614,1001.836319,31.220831,131.013674,-153.567409,312.736590,348.408596,-1285716.738498
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,54.864620,2.560000,65.440626,12.057953,1830.374134,9.882643,0.573250,54.864620,75.594304,14.508637,1004.201431,31.222029,131.010865,-20.728108,45.027298,49.569305,-1285769.026025
max_dynamic_pressure,1830.374134,2.560000,65.440626,12.057953,1830.374134,9.882643,0.573250,54.864620,75.594304,14.508637,1004.201431,31.222029,131.010865,-20.728108,45.027298,49.569305,-1285769.026025
max_acceleration,332.534553,15.280000,0.000000,332.534553,282.064615,22.652002,0.680995,21.460339,0.818804,14.994678,1013.151637,31.220798,131.014062,-157.178692,349.659276,383.364807,-1285697.700547
max_qbar_atan_aoa,1157132.463891,2.770000,54.787503,2.894170,1814.133366,11.132462,2.157153,54.643100,84.130872,14.453149,1003.183737,31.222004,131.010938,-23.555798,52.046108,57.128618,-1285767.127632
max_altitude,169.030556,6.920000,0.000000,1.525805,817.103851,14.873538,1.344936,36.822583,169.030556,13.901301,993.107732,31.221491,131.012433,-80.426657,194.461177,210.437366,-1285728.210323
final_point,0.063523,15.340000,0.000000,127.588881,34.114454,54.198082,3.930844,7.463040,0.063523,14.999587,1013.242369,31.220797,131.014062,-157.303555,349.666583,383.422683,-1285697.796628
parachute_deploy,1.000000,10.980000,0.000000,17.916834,734.477350,13.820321,1.219481,34.785826,94.299082,14.387056,1001.972616,31.221015,131.013769,-133.150103,321.736324,348.201839,-1285694.969282
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,55.278245,2.620000,61.635938,12.570274,1857.694109,10.971978,1.823546,55.278245,77.734759,14.494724,1003.946177,31.222040,131.010896,-19.516911,47.986742,51.803876,-1285766.292839
max_dynamic_pressure,1857.718067,2.560000,65.440626,15.465271,1857.718067,10.214379,0.979808,55.272109,75.292288,14.510600,1004.237452,31.222046,131.010874,-18.838867,45.942773,49.655262,-1285766.962614
max_acceleration,334.817806,15.160000,0.000000,334.817806,281.777067,22.258165,0.756362,21.449400,0.820770,14.994665,1013.151401,31.220962,131.014114,-139.071731,354.654853,380.949697,-1285680.168928
max_qbar_atan_aoa,1257516.121963,2.760000,57.070314,2.704217,1844.917888,11.896354,2.877443,55.102723,83.356066,14.458186,1003.276072,31.222026,131.010946,-21.099336,52.826568,56.884391,-1285764.688351
max_altitude,166.918517,6.880000,0.000000,0.667073,867.908067,15.132558,1.967562,37.946199,166.918517,13.915030,993.357393,31.221602,131.012476,-68.093309,198.531026,209.884544,-1285715.872866
final_point,0.062309,15.220000,0.000000,121.512812,36.773822,53.660572,4.762311,7.748469,0.062309,14.999595,1013.242515,31.220960,131.014114,-139.244878,354.641944,381.000928,-1285680.315857
parachute_deploy,1.000000,10.930000,0.000000,18.378797,743.559703,13.816166,1.019942,34.997245,92.519357,14.398624,1002.184511,31.221200,131.013844,-112.675044,328.882076,347.649598,-1285674.255459
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,55.849021,2.620000,61.635938,14.606095,1896.335306,11.617115,2.553370,55.849021,77.296897,14.497570,1003.998388,31.222058,131.010905,-17.516600,48.875681,51.919817,-1285764.155887
max_dynamic_pressure,1896.335306,2.620000,61.635938,14.606095,1896.335306,11.617115,2.553370,55.849021,77.296897,14.497570,1003.998388,31.222058,131.010905,-17.516600,48.875681,51.919817,-1285764.155887
max_acceleration,326.105459,15.000000,0.000000,326.105459,184.109382,21.126124,7.811347,17.337890,0.626909,14.995925,1013.174689,31.221125,131.014148,-121.016860,357.923498,377.830363,-1285663.705526
max_qbar_atan_aoa,1365686.209121,2.750000,60.875001,2.174610,1886.323902,12.636070,3.656700,55.715222,82.455565,14.464039,1003.383395,31.222047,131.010953,-18.704746,53.486929,56.663252,-1285762.370216
max_altitude,164.090259,6.820000,0.000000,1.721169,937.087661,15.210766,2.508985,39.424151,164.090259,13.933413,993.691798,31.221712,131.012504,-55.896952,201.192863,208.813918,-1285704.482466
final_point,0.066382,15.050000,0.000000,168.356591,41.243484,49.897052,3.395264,8.205863,0.066382,14.999569,1013.242025,31.221123,131.014148,-121.192293,357.896711,377.861220,-1285663.862540
parachute_deploy,1.000000,10.870000,0.000000,18.922759,756.454910,14.556704,0.447564,35.294906,89.865930,14.415871,1002.500497,31.221381,131.013902,-92.612022,334.412404,347.000902,-1285654.833101
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,56.562281,2.620000,61.635938,15.888710,1945.183263,12.356317,3.405660,56.562281,76.753722,14.501101,1004.063161,31.222076,131.010913,-15.547042,49.675616,52.051714,-1285762.096572
max_dynamic_pressure,1945.183263,2.620000,61.635938,15.888710,1945.183263,12.356317,3.405660,56.562281,76.753722,14.501101,1004.063161,31.222076,131.010913,-15.547042,49.675616,52.051714,-1285762.096572
max_acceleration,357.767084,14.780000,0.000000,357.767084,280.857519,20.835481,1.972867,21.414364,0.812919,14.994716,1013.152344,31.221286,131.014166,-103.105423,359.555155,374.047996,-1285648.330373
max_qbar_atan_aoa,1482097.165871,2.740000,63.918753,1.710534,1937.216093,13.352912,4.460141,56.459062,81.444770,14.470609,1003.503873,31.222068,131.010959,-16.388911,54.027641,56.458719,-1285760.186536
max_altitude,160.646154,6.740000,0.000000,4.531501,1023.046596,14.997244,2.807173,41.185837,160.646154,13.955800,994.099141,31.221818,131.012516,-44.078552,202.402735,207.147188,-1285694.259042
final_point,0.051130,14.840000,0.000000,215.574393,43.627920,44.189606,5.076265,8.439730,0.051130,14.999668,1013.243858,31.221283,131.014165,-103.394550,359.495177,374.070159,-1285648.598550
parachute_deploy,1.000000,10.800000,0.000000,19.011684,772.351489,15.692570,1.536740,35.658056,86.498498,14.437760,1002.901627,31.221555,131.013943,-73.239179,338.312018,346.149960,-1285636.935006
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,57.405008,2.620000,61.635938,16.042677,2003.700724,13.187257,4.371653,57.405008,76.116726,14.505241,1004.139126,31.222093,131.010921,-13.622040,50.385898,52.194846,-1285760.126381
max_dynamic_pressure,2003.700724,2.620000,61.635938,16.042677,2003.700724,13.187257,4.371653,57.405008,76.116726,14.505241,1004.139126,31.222093,131.010921,-13.622040,50.385898,52.194846,-1285760.126381
max_acceleration,365.930263,14.550000,0.000000,365.930263,229.039825,19.960398,7.676921,19.338171,0.704171,14.995423,1013.165408,31.221441,131.014163,-85.896685,359.312941,369.438876,-1285634.634059
max_qbar_atan_aoa,1609060.414824,2.720000,47.939064,3.398395,2000.938157,14.035117,5.265064,57.376023,79.959763,14.480262,1003.680895,31.222089,131.010960,-14.117849,54.078826,55.891296,-1285758.329855
max_altitude,156.698938,6.650000,0.000000,8.170721,1123.707212,14.380822,2.713919,43.156299,156.698938,13.981457,994.566155,31.221919,131.012517,-32.900770,202.516293,205.171727,-1285685.202445
final_point,0.086286,14.600000,0.000000,345.651875,59.675192,43.814503,5.558606,9.870608,0.086286,14.999439,1013.239634,31.221439,131.014162,-86.160371,359.252807,369.441801,-1285634.881867
parachute_deploy,1.000000,10.710000,0.000000,19.358744,789.377988,15.792727,1.797196,36.042817,82.957874,14.460774,1003.323528,31.221722,131.013963,-54.731352,340.267407,344.641887,-1285620.888119
max_thrust,855.293775,0.070000,855.293775,81.387185,2.717040,76.868188,4.494469,2.106476,3.034007,14.980279,1012.885565,31.222216,131.010392,-0.008654,0.015239,0.017525,-1285779.122471
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.657906,0.540000,349.270324,28.559188,217.016921,26.048926,5.267925,18.830058,7.657906,14.950224,1012.330362,31.222205,131.010414,-1.183562,2.084041,2.396674,-1285778.837406
max_speed,58.377486,2.700000,61.635938,2.376928,2071.706382,14.703260,6.074630,58.377486,78.412192,14.490321,1003.865402,31.222108,131.010959,-11.991238,54.006354,55.321600,-1285756.662841
max_dynamic_pressure,2071.706382,2.700000,61.635938,2.376928,2071.706382,14.703260,6.074630,58.377486,78.412192,14.490321,1003.865402,31.222108,131.010959,-11.991238,54.006354,55.321600,-1285756.662841
max_acceleration,373.308434,14.290000,0.000000,373.308434,224.036156,21.823046,8.059527,19.125763,0.696033,14.995476,1013.166385,31.221590,131.014146,-69.428493,357.646023,364.323807,-1285622.380107
max_qbar_atan_aoa,1745277.464470,2.700000,61.635938,2.376928,2071.706382,14.703260,6.074630,58.377486,78.412192,14.490321,1003.865402,31.222108,131.010959,-11.991238,54.006354,55.321600,-1285756.662841
max_altitude,152.366641,6.550000,0.000000,12.056595,1237.166929,13.356536,2.201496,45.273193,152.366641,14.009617,995.078934,31.222013,131.012507,-22.485164,201.567335,202.817799,-1285677.390347
