Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,cg,parachute_deploy_gain,Wind Speed,Wind Direction,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
0.0,31.2222,131.01,3.0000000040022825,0.0,0.0,0.0,0.0,0.0,2.2828121974499247,0.0,0.0,69.99999999623421,2.7897959316366192e-14,130.64999999297154,0.0,1.274,1.0412389379908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,90.0,0.0,0.0
0.01,31.222199999997407,131.01000000000354,3.000001229817378,0.0,0.0,0.0,0.0,0.0,34.24218696174923,7.791736639516481e-11,7.576803621634164e-11,69.99999999623988,-3.533741513406974e-13,130.64999999297257,3.717517547733681e-21,1.274,1.0412376346947911,0.0,0.0,0.0,2.289788289326184e-13,-2.9137933385547927e-19,6.301925127571996e-19,6.911788849595093e-19,-1.4714696860839272e-31,0.0,89.99999999950396,7.791736639516481e-11,0.0
0.02,31.22219999999511,131.01000000000667,3.0000023174424464,0.0,0.0,0.0,0.0,0.0,25.871876237766408,1.615336871827932e-10,1.5708688673682764e-10,69.99999999624592,-8.369387794912738e-13,130.64999999297368,1.5977569305520942e-20,1.274,1.041236478156905,0.0,0.0,0.0,4.747053992709073e-13,-5.861467994999758e-19,1.2671612890924333e-18,1.3823577699190185e-18,-6.1339300484760735e-31,0.0,89.99999999897165,1.615336871827932e-10,0.0
0.03,31.22219999908265,131.0100000012552,3.00016135228689,20.50862220906569,-0.0001116272988177,9.778737203014314,-1.404890279986149e-05,3.349837252652784,180.34219359854663,0.071711148733798,0.0465808709984227,69.99999999602483,-7.764932009641434e-12,130.6499999936179,0.0031488926087128,1.274,1.041228904886257,0.0,0.0,0.0,0.0002107403733961,1.4549484934987117e-15,-2.7597615819981137e-08,6.9697856833845695e-12,5.930646698885094e-12,20.50862220935639,89.57230556737353,0.0716936143587027,10.336590874416668
0.04,31.22219999371376,131.01000000861512,3.001471970320168,10.511579917464816,-3.243781875929297e-05,48.56057052481781,1.2836161010020458e-05,3.349679131350337,548.6359724538078,0.3213307978350474,0.1631436613994598,69.99999989737479,-4.986295238171863e-11,130.64999999741414,0.0632250440498556,1.274,1.0412113771383462,0.0,0.0,0.0,0.0009443074684512,9.683636745662188e-14,-6.183734269199877e-07,1.4697515042039547e-11,5.9545222871661e-10,10.511579917514316,87.98951043586885,0.3213257025143918,48.67596285620833
0.05,31.222199978199583,131.01000002993183,3.00661026006156,5.957888619717974,1.4128661485789444e-05,71.03402099562147,7.221124158572281e-05,3.349122043592085,761.6984298824644,0.8874608733494813,0.388450897448865,69.99999882825868,-1.9238431667061478e-10,130.6500000083873,0.4822615652013438,1.274,1.0411783490946764,0.0,0.0,0.0,0.0026080163646913,1.0716786616113416e-12,-4.471480279534525e-06,2.472737353011221e-11,1.1891703562243968e-08,5.957888619734714,84.39898463796193,0.8874630926744378,71.11292960688992
0.06,31.222199948718103,131.01000007047696,3.017392004410628,4.778598192734092,4.783317280808661e-05,53.03120083551072,0.000137000931527,3.348188166600807,590.4875390737208,1.5077390322170563,0.6319131311952614,69.99999377926436,-4.341200155020784e-10,130.6500000292886,1.3919900406198176,1.274,1.0411428272531282,0.0,0.0,0.0,0.0044308528589863,5.614742361098515e-12,-1.604087111742241e-05,1.11151491236452e-10,7.247650089181655e-08,4.778598192972917,80.52315822260861,1.507746545834271,53.136791642646315
0.07,31.22219990568365,131.01000012967887,3.03362062419414,4.261668153485884,7.813722154447852e-05,80.99136280837712,0.0002030415911161,3.346868500079049,855.2937749779139,2.140706517557742,0.8796266905509843,69.99997940224195,-5.324785243106606e-10,130.65000006007452,2.8060626169891942,1.274,1.0411038001485082,0.0,0.0,0.0,0.0062909808177568,1.8493501875553337e-11,-3.8853137972540845e-05,4.5475786141337453e-10,2.492445354133219e-07,4.261668154200891,76.65821579689232,2.140718791323801,81.0604859247477
0.08,31.22219984666025,131.01000021089737,3.056453679838724,4.012734139700487,0.0001108021824566,16.245012261743867,0.00026675756139,3.345175952754317,241.2171988638848,2.751414976408187,1.1196621910434084,69.99994788436425,1.1453943541102523e-10,130.6500001031319,4.635476002673878,1.274,1.0410676072544631,0.0,0.0,0.0,0.0080856965465611,4.667437110091911e-11,-7.854406148771273e-05,1.397780516122261e-09,6.476060737885158e-07,4.012734141227839,73.04398433761138,2.751432381174308,16.585856191654802
0.09,31.222199776433808,131.0100003075312,3.083618062214456,3.9805775656081153,0.0001447448429549,50.233297523494976,0.0003195010606539,3.343273999748514,563.0937377043176,3.255369122909041,1.3230754582849176,69.99988935977323,2.7475717425049756e-09,130.65000015632376,6.489055527512807,1.274,1.041033515145738,0.0,0.0,0.0,0.0095666902905458,9.89410325418188e-11,-0.0001349748871062,3.251383660611973e-09,1.3167203321382537e-06,3.980577568235519,70.16468490991225,3.2553918593758047,50.344430289987805
0.1,31.22219969466044,131.01000042005475,3.115277587319836,4.053810924903452,0.0001817460909568,47.68406179550145,0.0003629995528921,3.3411913225917687,538.7437595981919,3.6694395034761818,1.4956552434125308,69.99979335674102,9.105636306429856e-09,130.65000022173055,8.244781577543487,1.274,1.0410047961529831,0.0,0.0,0.0,0.01078354020093,1.846176009681936e-10,-0.0002114162985251,6.430470524426311e-09,2.324755082599028e-06,4.053810928970789,67.87713119562447,3.66946805208539,47.8009760245869
0.11,31.22219960228739,131.01000054716135,3.15098275801287,4.08879887251456,0.0002165517323434,37.57703380938428,0.0004088031298194,3.338680488146456,442.8656393052949,4.106510197494698,1.6761033576875413,69.99964815266243,2.157079387252104e-08,130.65000030118122,10.325807230133096,1.274,1.0409744229366016,0.0,0.0,0.0,0.0120679835688333,3.1413410405423396e-10,-0.0003096469881176,1.1344257077587508e-08,3.810458936312328e-06,4.088798878239373,65.54052522720067,4.10654421336127,37.725061397970705
0.12,31.222199499853268,131.01000068810808,3.190478271855404,4.112828894511924,0.0002499479283849,41.05298119022439,0.0004549882110869,3.335739745346665,475.58594813540446,4.54787309844234,1.858005129722896,69.99944066858215,4.322591955167317e-08,130.65000039753787,12.664651123479612,1.274,1.0409430692148225,0.0,0.0,0.0,0.013365042246615,4.99120726960543e-10,-0.0004316110113287,1.8436284632152145e-08,5.882158557865512e-06,4.112828902093807,63.266437926054365,4.547912360171119,41.188280183331486
0.13,31.2221993878858,131.0100008421671,3.233514036855885,4.206570283102073,0.0002871988503429,45.33303461108965,0.0004921123519497,3.332654522030138,515.9156326236895,4.901258824854362,2.009717321964182,69.99915666646451,7.789232314944701e-08,130.65000051444832,14.70923325849041,1.274,1.0409160963544908,0.0,0.0,0.0,0.0144035600018433,7.52229331904238e-10,-0.0005791561736847,2.817255072565456e-08,8.506235578965713e-06,4.206570292888532,61.512292399112894,4.90130393794428,45.455369467815736
