extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.737919,0.540000,349.270324,28.396510,215.200674,26.061836,4.831497,18.751169,7.737919,14.949704,1012.320756,31.222206,131.010412,-1.079133,1.902691,2.187410,-1285778.861239
max_speed,64.918700,12.620000,0.000000,769.238077,2581.234471,7.613358,0.730422,64.918700,0.521947,14.996607,1013.187298,31.219959,131.013806,-250.243988,325.311040,410.428850,-1285787.020356
max_dynamic_pressure,2581.234471,12.620000,0.000000,769.238077,2581.234471,7.613358,0.730422,64.918700,0.521947,14.996607,1013.187298,31.219959,131.013806,-250.243988,325.311040,410.428850,-1285787.020356
max_acceleration,769.238077,12.620000,0.000000,769.238077,2581.234471,7.613358,0.730422,64.918700,0.521947,14.996607,1013.187298,31.219959,131.013806,-250.243988,325.311040,410.428850,-1285787.020356
max_qbar_atan_aoa,1249941.626973,2.190000,153.709379,9.168176,1847.973818,11.805144,3.975980,55.086945,60.188049,14.608778,1006.040216,31.222034,131.010703,-20.155515,29.663045,35.862832,-1285777.698775
max_altitude,162.559717,6.760000,0.000000,6.235058,1051.126139,11.566850,1.447608,41.751073,162.559717,13.943362,993.872802,31.221086,131.012117,-125.341713,164.394580,206.727948,-1285782.201549
final_point,0.521947,12.620000,0.000000,769.238077,2581.234471,7.613358,0.730422,64.918700,0.521947,14.996607,1013.187298,31.219959,131.013806,-250.243988,325.311040,410.428850,-1285787.020356
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,81.251004,2.700102,76.901120,4.115662,2.099900,3.034594,14.980275,1012.885495,31.222216,131.010392,-0.007891,0.013913,0.015995,-1285779.122645
