extrema_type,extrema_value,time,thrust,acceleration,dynamic_pressure,angle_of_attack_gust,angle_of_attack_total,true_velocity,altitude,temperature,pressure,latitude,longitude,lat_m,long_m,range_m,landing_range
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903525,0.520000,372.098451,33.245109,239.962723,21.162908,5.584122,19.800761,7.903525,14.948627,1012.300876,31.222207,131.010410,-0.973721,1.720072,1.976558,-1285778.885036
max_speed,68.695419,15.160000,0.000000,7.632506,2890.028019,7.446565,0.020342,68.695419,1.512993,14.990166,1013.068251,31.220671,131.013508,-171.343395,296.860725,342.762721,-1285740.469834
max_dynamic_pressure,2890.028019,15.160000,0.000000,7.632506,2890.028019,7.446565,0.020342,68.695419,1.512993,14.990166,1013.068251,31.220671,131.013508,-171.343395,296.860725,342.762721,-1285740.469834
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1233050.001762,15.160000,0.000000,7.632506,2890.028019,7.446565,0.020342,68.695419,1.512993,14.990166,1013.068251,31.220671,131.013508,-171.343395,296.860725,342.762721,-1285740.469834
max_altitude,239.586783,8.070000,0.000000,0.865812,363.772985,20.204291,0.189533,24.652924,239.586783,13.442686,984.796518,31.221428,131.012002,-87.402277,153.422812,176.572684,-1285758.211961
final_point,1.512993,15.160000,0.000000,7.632506,2890.028019,7.446565,0.020342,68.695419,1.512993,14.990166,1013.068251,31.220671,131.013508,-171.343395,296.860725,342.762721,-1285740.469834
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903527,0.520000,372.098451,33.285587,242.865385,17.380894,8.387547,19.920159,7.903527,14.948627,1012.300876,31.222207,131.010410,-0.973724,1.720070,1.976557,-1285778.885039
max_speed,68.781485,15.170000,0.000000,7.907316,2897.410271,7.419401,0.038416,68.781485,1.023705,14.993346,1013.127024,31.220667,131.013508,-171.795880,296.857838,342.986644,-1285740.835464
max_dynamic_pressure,2897.410271,15.170000,0.000000,7.907316,2897.410271,7.419401,0.038416,68.781485,1.023705,14.993346,1013.127024,31.220667,131.013508,-171.795880,296.857838,342.986644,-1285740.835464
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1243937.993293,15.070000,0.000000,7.882910,2832.395846,7.665176,0.137704,68.026575,7.502895,14.951231,1012.348970,31.220677,131.013488,-170.654746,294.983234,340.792548,-1285741.031754
max_altitude,239.694759,8.070000,0.000000,0.541546,372.705971,20.126068,0.295876,24.953913,239.694759,13.441984,984.783843,31.221429,131.012003,-87.292533,153.523198,176.605645,-1285758.064038
final_point,1.023705,15.170000,0.000000,7.907316,2897.410271,7.419401,0.038416,68.781485,1.023705,14.993346,1013.127024,31.220667,131.013508,-171.795880,296.857838,342.986644,-1285740.835464
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903529,0.520000,372.098451,33.353430,247.703574,13.545945,11.587425,20.117598,7.903529,14.948627,1012.300876,31.222207,131.010410,-0.973726,1.720068,1.976557,-1285778.885043
max_speed,68.799098,15.170000,0.000000,8.432419,2898.819002,7.431712,0.057984,68.799098,1.294535,14.991586,1013.094492,31.220663,131.013505,-172.154078,296.652551,342.988631,-1285741.245548
max_dynamic_pressure,2898.819002,15.170000,0.000000,8.432419,2898.819002,7.431712,0.057984,68.799098,1.294535,14.991586,1013.094492,31.220663,131.013505,-172.154078,296.652551,342.988631,-1285741.245548
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1257221.801680,15.070000,0.000000,8.307242,2833.863664,7.743019,0.229195,68.045077,7.771473,14.949485,1012.316728,31.220674,131.013486,-170.997222,294.787861,340.795164,-1285741.423301
max_altitude,239.873988,8.070000,0.000000,0.354049,387.623947,19.890566,0.420593,25.448637,239.873988,13.440819,984.762802,31.221430,131.012004,-87.194812,153.639564,176.658559,-1285757.916288
final_point,1.294535,15.170000,0.000000,8.432419,2898.819002,7.431712,0.057984,68.799098,1.294535,14.991586,1013.094492,31.220663,131.013505,-172.154078,296.652551,342.988631,-1285741.245548
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903531,0.520000,372.098451,33.449185,254.477336,9.760220,14.866224,20.390813,7.903531,14.948627,1012.300876,31.222207,131.010410,-0.973729,1.720067,1.976557,-1285778.885046
max_speed,68.898301,15.180000,0.000000,9.196284,2907.260948,7.423213,0.121168,68.898301,1.021490,14.993360,1013.127290,31.220659,131.013505,-172.656644,296.604376,343.199526,-1285741.678371
max_dynamic_pressure,2907.260948,15.180000,0.000000,9.196284,2907.260948,7.423213,0.121168,68.898301,1.021490,14.993360,1013.127290,31.220659,131.013505,-172.656644,296.604376,343.199526,-1285741.678371
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1271786.226789,15.080000,0.000000,9.025791,2842.278640,7.809529,0.314618,68.145153,7.503560,14.951227,1012.348890,31.220669,131.013485,-171.484424,294.750964,341.007996,-1285741.837065
max_altitude,240.123157,8.070000,0.000000,1.026380,408.504390,19.469757,0.489036,26.125392,240.123157,13.439199,984.733552,31.221430,131.012006,-87.109726,153.769979,176.730039,-1285757.770346
final_point,1.021490,15.180000,0.000000,9.196284,2907.260948,7.423213,0.121168,68.898301,1.021490,14.993360,1013.127290,31.220659,131.013505,-172.656644,296.604376,343.199526,-1285741.678371
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903535,0.520000,372.098451,33.573565,263.186717,6.271138,18.113221,20.736811,7.903535,14.948627,1012.300875,31.222207,131.010410,-0.973732,1.720066,1.976557,-1285778.885049
max_speed,68.928497,15.180000,0.000000,10.169451,2909.674092,7.430931,0.152258,68.928497,1.507536,14.990201,1013.068906,31.220655,131.013502,-173.081980,296.326331,343.173585,-1285742.185690
max_dynamic_pressure,2909.674092,15.180000,0.000000,10.169451,2909.674092,7.430931,0.152258,68.928497,1.507536,14.990201,1013.068906,31.220655,131.013502,-173.081980,296.326331,343.173585,-1285742.185690
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1318686.045272,2.690000,70.006254,3.876073,2077.469530,11.078580,2.471435,58.511339,97.151361,14.368516,1001.633098,31.222021,131.010752,-21.659505,34.299821,40.566172,-1285776.151872
max_altitude,240.440377,8.070000,0.000000,1.950664,435.316922,18.817682,0.412102,26.969561,240.440377,13.437138,984.696315,31.221431,131.012007,-87.038046,153.912158,176.818465,-1285757.628194
final_point,1.507536,15.180000,0.000000,10.169451,2909.674092,7.430931,0.152258,68.928497,1.507536,14.990201,1013.068906,31.220655,131.013502,-173.081980,296.326331,343.173585,-1285742.185690
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903539,0.520000,372.098451,33.727413,273.831771,4.032763,21.276645,21.152023,7.903539,14.948627,1012.300875,31.222207,131.010410,-0.973735,1.720065,1.976558,-1285778.885052
max_speed,69.039003,15.190000,0.000000,11.039786,2919.028210,7.339642,0.195938,69.039003,1.446429,14.990598,1013.076246,31.220650,131.013500,-173.679382,296.171509,343.341721,-1285742.758165
max_dynamic_pressure,2919.028210,15.190000,0.000000,11.039786,2919.028210,7.339642,0.195938,69.039003,1.446429,14.990598,1013.076246,31.220650,131.013500,-173.679382,296.171509,343.341721,-1285742.758165
max_acceleration,1469.771723,15.200000,0.000000,1469.771723,2632.601100,6.400573,1.470833,65.562326,0.797028,14.994819,1013.154253,31.220648,131.013502,-173.797891,296.351126,343.556612,-1285742.746733
max_qbar_atan_aoa,1385572.473216,2.680000,67.723440,4.197446,2110.722759,11.457119,2.893310,58.976959,96.867477,14.370361,1001.666885,31.222018,131.010748,-21.908640,33.956105,40.410493,-1285776.556531
max_altitude,240.823509,8.070000,0.000000,2.883467,468.020239,17.900781,0.149049,27.964783,240.823509,13.434647,984.651342,31.221431,131.012009,-86.981105,154.063650,176.922347,-1285757.492359
final_point,0.797028,15.200000,0.000000,1469.771723,2632.601100,6.400573,1.470833,65.562326,0.797028,14.994819,1013.154253,31.220648,131.013502,-173.797891,296.351126,343.556612,-1285742.746733
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
launch_clear,7.903544,0.520000,372.098451,33.911656,286.412551,5.035990,24.327614,21.632465,7.903544,14.948627,1012.300874,31.222207,131.010410,-0.973738,1.720064,1.976559,-1285778.885055
max_speed,69.153779,15.200000,0.000000,11.687952,2928.730450,7.217103,0.250214,69.153779,1.487303,14.990333,1013.071337,31.220644,131.013498,-174.347665,295.941257,343.481857,-1285743.432474
max_dynamic_pressure,2928.730450,15.200000,0.000000,11.687952,2928.730450,7.217103,0.250214,69.153779,1.487303,14.990333,1013.071337,31.220644,131.013498,-174.347665,295.941257,343.481857,-1285743.432474
max_acceleration,86.949022,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
max_qbar_atan_aoa,1456151.356926,2.670000,69.245314,4.234780,2150.175584,11.819795,3.318867,59.524895,96.623360,14.371948,1001.695941,31.222016,131.010745,-22.164155,33.624133,40.272006,-1285776.959340
max_altitude,241.270860,8.070000,0.000000,3.624910,506.554890,16.751561,0.437645,29.093888,241.270860,13.431739,984.598832,31.221432,131.012011,-86.941243,154.222075,177.040743,-1285757.366139
final_point,1.487303,15.200000,0.000000,11.687952,2928.730450,7.217103,0.250214,69.153779,1.487303,14.990333,1013.071337,31.220644,131.013498,-174.347665,295.941257,343.481857,-1285743.432474
parachute_deploy,0.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
max_thrust,855.293775,0.070000,855.293775,86.949022,3.255355,75.660167,3.649088,2.305726,3.037133,14.980259,1012.885190,31.222216,131.010392,-0.007768,0.013713,0.015761,-1285779.122665
initial_point,3.000000,0.000000,2.282812,0.000000,0.000000,90.000000,0.000000,0.000000,3.000000,14.980500,1012.889649,31.222216,131.010392,0.000000,0.000000,0.000000,-1285779.124571
