Time,Latitude,Longitude,Altitude,Angle of Attack,Angle of Sideslip,X-Acceleration,Y-Acceleration,Z-Acceleration,Thrust,True Velocity,Ground Velocity,Pitch,Roll,Yaw,Dynamic Pressure,cp,cg,parachute_deploy_gain,Wind Speed,Wind Direction,Mach,omega_x,omega_y,omega_z,Cmq,Angle of Attack(total),Angle of Attack(gust),True Velocity(gust),Acceleration
0,31.222216,131.010392,3.000000004,0,0,0,0,0,2.282812197,0,0,70,0,120,0,1.274,1.027167515,0,0,0,0,0,0,0,0,0,90,0,0
0.01,31.222216,131.010392,3.000002745,0,0,0,0,0,34.24218696,3.47E-14,2.87E-14,70,-2.17E-11,120,7.35E-28,1.274,1.027165913,0,0,0,1.02E-16,-3.33E-18,7.17E-18,5.62E-18,-7.72E-34,0,90,3.47E-14,0
0.02,31.222216,131.010392,3.00000305,0,0,0,0,0,25.87187624,3.82E-11,2.42E-11,70,-1.19E-11,120,8.93E-22,1.274,1.027164492,0,0,0,1.12E-13,-6.66E-18,1.43E-17,1.12E-17,-1.70E-30,0,90,3.82E-11,0
0.03,31.222216,131.010392,3.00000305,0,0,9.818778374,-2.51E-05,3.349861463,180.3421936,1.27E-10,1.14E-10,70,-1.64E-11,120,9.81E-21,1.274,1.027155194,0,0,0,3.72E-13,-9.99E-18,2.15E-17,1.69E-17,-8.45E-30,0,90,1.27E-10,10.374487
0.04,31.222216,131.010392,3.00000305,18.83801225,-0.000111178,48.68248477,-1.02E-05,3.34978544,548.6359725,0.155617305,0.097590836,70,-2.09E-11,120,0.014828604,1.274,1.027133721,0,0,0,0.000457319,-1.33E-17,-1.05E-11,1.34E-11,5.06E-15,18.83801225,89.06236268,0.155599841,48.7975961
0.05,31.22221599,131.010392,3.002326315,5.77238561,-4.40E-06,71.2034455,4.91E-05,3.349217396,761.6984299,0.832647194,0.36203261,70.00000001,-1.09E-10,120,0.424528104,1.274,1.027093427,0,0,0,0.002446933,-5.02E-18,-7.33E-07,2.22E-11,1.90E-09,5.77238561,84.74112357,0.832646504,71.28217104
0.06,31.22221597,131.0103921,3.01508173,4.056581214,3.17E-05,53.16249142,0.000120383,3.348123598,590.4875391,1.657216205,0.675545298,69.99999964,-3.93E-10,120,1.681675555,1.274,1.027050317,0,0,0,0.004870127,3.10E-13,-7.48E-06,3.07E-11,3.85E-08,4.056581214,79.59316474,1.657221183,53.26781792
0.07,31.22221593,131.0103921,3.034593611,4.115662019,6.45E-05,81.18203555,0.000159321,3.347059403,855.293775,2.099899704,0.857977115,69.99999543,-8.23E-10,120.0000001,2.700101932,1.274,1.027003201,0,0,0,0.00617106,3.47E-12,-2.63E-05,1.95E-10,1.72E-07,4.115662019,76.90111966,2.099909837,81.25100432
0.08,31.22221589,131.0103922,3.054276184,3.459696194,8.04E-05,16.29821421,0.000241346,3.344878927,241.2171989,3.051964775,1.214999972,69.99998043,-1.01E-09,120.0000001,5.703497661,1.274,1.026959719,0,0,0,0.008968934,1.46E-11,-5.70E-05,7.04E-10,5.41E-07,3.459696195,71.3033193,3.0519774,16.63790857
0.09,31.22221582,131.0103924,3.088687218,4.313676956,0.000133756,50.35975918,0.000229328,3.344215842,563.0937377,2.893161299,1.191209214,69.99994789,-7.10E-10,120.0000002,5.125380276,1.274,1.026918932,0,0,0,0.008502255,3.87E-11,-0.000111593,2.02E-09,1.00E-06,4.313676958,72.23165781,2.893182309,50.47067589
0.1,31.22221578,131.0103925,3.109877853,4.035124631,0.00014575,47.80466481,0.000287822,3.341734392,538.7437596,3.567714858,1.453124751,69.99988404,1.92E-09,120.0000002,7.793996203,1.274,1.026884693,0,0,0,0.010484597,8.58E-11,-0.000172682,3.98E-09,1.91E-06,4.035124634,68.43243099,3.567737753,47.92132267
0.11,31.2222157,131.0103926,3.148841433,4.043401107,0.000175276,37.67622368,0.000328646,3.3392564,442.8656393,4.034183356,1.643655202,69.99978525,7.30E-09,120.0000003,9.965281188,1.274,1.026848595,0,0,0,0.011855433,1.59E-10,-0.00025962,7.23E-09,3.25E-06,4.043401111,65.92012987,4.034210888,37.82391392
0.12,31.22221563,131.0103928,3.186995101,4.178744592,0.000206671,41.15991989,0.000357695,3.336766086,475.5859481,4.361857561,1.78657505,69.99963666,1.78E-08,120.0000004,11.6498319,1.274,1.026811445,0,0,0,0.012818389,2.68E-10,-0.000371022,1.22E-08,5.03E-06,4.178744597,64.21681651,4.361890024,41.29495143
